,Model,Best Threshold,F1 Score,Accuracy,Recall,Precision
0,Logistic Regression,0.42105263157894735,0.7657772130453198,0.7493200362647325,0.8195829555757026,0.7186009538950715
1,Naive-Bayes,0.15789473684210525,0.7517587939698492,0.720081595648232,0.8476881233000907,0.6753340556157458
2,Random Forest,0.42105263157894735,0.7848993984650487,0.764959202175884,0.85766092475068,0.7235181644359464
